ScoreChangeEvent{type=INSERT, score=Score{id='user_11', score=10.00, lastUpdate=1759138315643, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_12', score=591.00, lastUpdate=1759138315679, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_15', score=628.00, lastUpdate=1759138315679, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_1', score=587.00, lastUpdate=1759138315680, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_3', score=607.00, lastUpdate=1759138315680, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_3', score=607.00, lastUpdate=1759138315681, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_6', score=625.00, lastUpdate=1759138315681, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_12', score=644.00, lastUpdate=1759138315684, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_6', score=650.00, lastUpdate=1759138315684, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_17', score=668.00, lastUpdate=1759138315684, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_3', score=666.00, lastUpdate=1759138315684, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_17', score=668.00, lastUpdate=1759138315685, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_12', score=682.00, lastUpdate=1759138315685, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_3', score=692.00, lastUpdate=1759138315686, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_6', score=700.00, lastUpdate=1759138315686, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_20', score=724.00, lastUpdate=1759138315688, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_1', score=751.00, lastUpdate=1759138315688, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_6', score=746.00, lastUpdate=1759138315689, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_17', score=754.00, lastUpdate=1759138315689, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_1', score=775.00, lastUpdate=1759138315691, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_6', score=790.00, lastUpdate=1759138315691, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_6', score=790.00, lastUpdate=1759138315692, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_1', score=803.00, lastUpdate=1759138315692, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_1', score=803.00, lastUpdate=1759138315693, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_6', score=809.00, lastUpdate=1759138315693, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_6', score=809.00, lastUpdate=1759138315694, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_1', score=839.00, lastUpdate=1759138315694, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_17', score=1170.00, lastUpdate=1759138315715, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_6', score=1187.00, lastUpdate=1759138315715, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_4', score=1185.00, lastUpdate=1759138315716, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_17', score=1200.00, lastUpdate=1759138315716, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_17', score=1266.00, lastUpdate=1759138315720, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=1273.00, lastUpdate=1759138315720, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_4', score=1273.00, lastUpdate=1759138315721, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_17', score=1292.00, lastUpdate=1759138315721, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_17', score=1306.00, lastUpdate=1759138315723, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=1313.00, lastUpdate=1759138315723, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_4', score=1313.00, lastUpdate=1759138315724, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_17', score=1327.00, lastUpdate=1759138315724, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_17', score=1408.00, lastUpdate=1759138315729, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=1428.00, lastUpdate=1759138315729, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_4', score=1428.00, lastUpdate=1759138315730, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_2', score=1448.00, lastUpdate=1759138315730, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_2', score=1448.00, lastUpdate=1759138315731, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_17', score=1460.00, lastUpdate=1759138315731, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_17', score=1524.00, lastUpdate=1759138315737, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=1540.00, lastUpdate=1759138315737, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_4', score=1540.00, lastUpdate=1759138315738, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_17', score=1559.00, lastUpdate=1759138315738, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_17', score=1592.00, lastUpdate=1759138315741, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=1635.00, lastUpdate=1759138315741, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_4', score=1694.00, lastUpdate=1759138315746, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_9', score=1709.00, lastUpdate=1759138315746, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_9', score=1709.00, lastUpdate=1759138315747, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=1723.00, lastUpdate=1759138315747, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_4', score=1723.00, lastUpdate=1759138315748, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_9', score=1742.00, lastUpdate=1759138315748, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_1', score=1798.00, lastUpdate=1759138315754, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_7', score=1819.00, lastUpdate=1759138315754, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_7', score=1819.00, lastUpdate=1759138315755, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_1', score=1846.00, lastUpdate=1759138315755, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_1', score=1846.00, lastUpdate=1759138315756, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_7', score=1852.00, lastUpdate=1759138315756, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_7', score=1872.00, lastUpdate=1759138315758, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_10', score=1886.00, lastUpdate=1759138315758, previousScore=null}}
ScoreChangeEvent{type=DELETE, score=Score{id='user_10', score=1886.00, lastUpdate=1759138315759, previousScore=null}}
ScoreChangeEvent{type=INSERT, score=Score{id='user_4', score=1907.00, lastUpdate=1759138315759, previousScore=null}}
